Title,Year,Summary,Runtime,YouTube Trailer,Rating,Director,Writers,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Cast_1,Cast_2,Cast_3,Keywords,Keywords_str
Patton Oswalt: Annihilation,2017,patton oswald despite personal tragedy produce best standup yet focusing tribulation trump era life loss loved one patton oswald continues journey contribute joy world                                                                                                                                                                                                                                         ,66,4hZi5QaMBFc,7.4,Bobcat Goldthwait,Patton Oswalt,uncategorized,,,,,patton oswalt,,,"['patton', 'oswald', 'tribulation', 'focusing', 'produce']",patton oswald tribulation focusing produce
New York Doll,2005,recovering alcoholic recently converted mormon arthur killer kane rock band new york doll given chance reuniting band 30 year                                                                                                                                                                                                                                                                                   ,75,jwD04NsnLLg,7.9,Greg Whiteley,Arthur Kane,documentary,music,,,,sylvain sylvain,,,"['band', 'reuniting', 'mormon', 'converted', 'kane']",band reuniting mormon converted kane
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,everyone snowed house mouse mickey suggests throw christmas party everyone happy except donald isnt christmas spirit mickey show series cartoon show christmas feature star studded cast disney character everyones favorite animated disney movie                                                                                                                                                              ,65,uCKwHHftrU4,6.8,Tony Craig,Thomas Hart,adventure,animation,comedy,family,fantasy,carlos alazraqui,wayne allwine,,"['christmas', 'disney', 'mickey', 'everyone', 'show']",christmas disney mickey everyone show
Mickey's House of Villains,2001,villain popular animated disney film gathered house mouse plan take soon villain take house kick mickey donald goofy mickey friend overthrow evil return house mouse normalor close normal get                                                                                                                                                                                                                  ,0,JA03ciYt-Ek,6.6,Jamie Mitchell,Thomas Hart,animation,comedy,family,fantasy,horror,tony anselmo,wayne allwine,,"['mickey', 'mouse', 'villain', 'house', 'gathered']",mickey mouse villain house gathered
And Then I Go,2017,cruel world junior high edwin suffers state anxiety alienation alongside friend flake misunderstood family demoralized school daily fury simmer quietly idea vengeance offer terrifying release based acclaimed novel project x jim shepard unflinching look adolescence explores powerful bond childhood friendship search belonging become matter life death                                                  ,99,8CdIiD6-iF0,7.6,Vincent Grashaw,Brett Haley,drama,,,,,arman darbo,sawyer barth,,"['alienation', 'misunderstood', 'unflinching', 'anxiety', 'quietly']",alienation misunderstood unflinching anxiety quietly
An Extremely Goofy Movie,2000,big time max life he college bound friend finally free embarrassing father strives top contender xgames unfortunately goofy loses job learns cannot get another job without college degree son mortification goofy decides join campus get degree desperate distract father max talk joining competing gamma fraternity team introduces wonderful librarian share nostalgic love 1970s pastime unfortunately thi,79,H8oSvldAGfg,6.4,Douglas McCarthy,Scott Spencer Gorden,animation,comedy,family,sport,,bill farmer,jason marsden,jeff bennett,"['goofy', 'degree', 'max', 'unfortunately', 'college']",goofy degree max unfortunately college
Peter Rabbit,2018,based book beatrix potter peter rabbit james corden three sister flopsy margot robbie mopsy elizabeth debicki cotton tail daisy ridley cousin benjamin colin moody enjoy day harassing mr mcgregor vegetable garden one day dy one stop roaming across house land full day however one mr mcgregors relative inherits house go check find much bargained ensues battle will new mr mcgregor rabbit start fall lo,95,7Pa_Weidt08,6.6,Will Gluck,Rob Lieber,adventure,animation,comedy,family,fantasy,fayssal bazzi,james corden,,"['mr', 'mcgregor', 'rabbit', 'day', 'cotton']",mr mcgregor rabbit day cotton
Love Songs,2007,july boyfriend ismaël life rather worry time spends colleague alice julie invite alice join three walk street paris party read sleep together sometimes lighthearted sometimes jealousy death strike various way left come term departure absence loved one showing concern eating together attempting new relationship trying spirit return new commitment possible romantic element musical comedy play contra,91,s54vpKAFmS0,7.2,Christophe Honoré,Christophe Honoré,uncategorized,,,,,clotilde hesme,louis garrel,ludivine sagnier,"['alice', 'sometimes', 'contra', 'worry', 'departure']",alice sometimes contra worry departure
89,2017,89 tell incredible story one football greatest triumph odds arsenal snatched championship title liverpool anfield last minute last game 198889 season universal tale band brother led charismatic deeply respected manager came together defy odds create history mixing archive previously unseen footage revealing interview insight memory original squad game official famous fan people night definitive ac,91,5hfAExhHTMM,8.1,Dave Stewart,Lee Dixon,uncategorized,,,,,ian wright,,,"['odds', 'game', 'last', 'ac', 'arsenal']",odds game last ac arsenal
The Foster Boy,2011,illegitimate orphan child 12yearold max sold local minister basket food bösiger family mountain farm max initial hope finally finding loving home brutally shattered farmer wife treat max like livestock son jacob humiliates abuse local teacher notice child suffering farm                                                                                                                                  ,107,E9Qv_XVJ-js,7.4,Markus Imboden,Plinio Bachmann,drama,,,,,katja riemann,maximilian simonischek,stefan kurt,"['max', 'farm', 'local', 'child', 'illegitimate']",max farm local child illegitimate
